TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
1844.01,,3.2130578,11.0975,918,211,142.751,4652.87,0.7,0.74
1845.01,,3.6609985,13.5278,1038,190,418.239,5271,0.94,0.9
1859.01,,63.4832443,10.8363,432,109,224.385,6415,1.4,1.291
1864.01,,1.6453263,19.0015,1824,444,559.068,6023,1.32,1.12
1874.01,,17.8683843,18.6471,1178,173,639.003,7013,1.64,1.54
1877.01,,3.8015907,14.4792,1245,159,565.519,6051,1.01,1.13
1884.01,,6.7822723,9.69986,782,101,340.55,5225,0.88,0.89
1897.01,,,25.45508732,802.8116653,150.86598,158.493,5937,1.02867,1.084
1898.01,,45.5221234,9.16745,473,103,79.6682,6303.91,1.61,1.24
1905.01,,5.72226,12.8433,687,288,64.7414,4233.2,0.73,0.66
1909.01,,4.1536624,12.7595,1138,140,303.941,5818.8,1.09,1.15
1924.01,,2.824066204,17.539812,2203.24192,231.70978,170.696,8004.2,1.836109996,2
1934.01,,4.511322916,18.30725675,1550.367301,107.57171,356.391,6540.6,1.707569957,1.34
1936.01,,2.3506186,12.801,1361,160,279.485,5593,0.97,0.99
1937.01,,0.9466787,14.6661,1646,110,415.135,5707,1.07,1.02
1951.01,,4.8294038,19.6891,1768,158,278.462,5877.5,1.96,1.35
1963.01,,12.6513671,19.222,842,219,158.09,5394.6,1.19,0.97
1970.01,,2.5599662,17.4735,1692,197,421.946,6432.2,1.57,1.44
1976.01,,7.6943096,,1536,105,201.2072,4956.8,,
2000.01,,9.1270513,7.99427,850,107,175.713,5400,1.18,0.98
2012.01,,3.0565259,15.1633,1715,159,320.451,5981,1.6,1.1
2017.01,,5.498303413,16.88739603,1193.399775,192.52672,115.605,6362.6,1.33874,
2020.01,,5.633468,13.4796,1499,127,127.774,6412.8,1.7,1.29
2021.01,,3.9415041,13.8352,1179,193,163.553,5729,0.92,1.023
2025.01,,8.8720895,12.5657,942,141,335.985,6042,1.48,1.123
2031.01,,5.71547,13.8404,1344,260,276.105,6664,1.18,1.41
2040.01,,3.86085,11.1063,1040,220,144.717,5019,0.92,0.834
2046.01,,1.4972,18.3536,2486,204,289.668,6081,1.24,1.139
2047.01,,7.4072431,14.6114,973,144,196.538,5887,1.14,1.068
2055.01,,4.69802,28.8625,,113,376.423,6782,1.61,
2109.01,,0.67249,15.7288,3053,133,262.041,6647,1.7,1.399
2119.01,,7.2008624,12.723,515,202,31.4006,3606,0.5,0.496373
2124.01,,3.5539303,20.2994,1590,147,515.98,6184,2.01,1.18
2126.01,,1.306192294,15.23536928,1443.289405,232.98799,231.337,5489,0.820181012,0.962
2127.01,,5.508068217,10.7299795,768.0533689,112.98463,161.4,4790,0.740113,0.773
2129.01,,4.627664,14.3694,1581,161,222.663,6727.6,1.55,1.433
2131.01,,1.8468363,16.0866,1830,298,231.161,6352,1.36,1.261
2135.01,,2.7884696,14.5809,1408,178,303.336,5833,1.13,1.051
2137.01,,14.15022688,18.63176833,617.9412206,101.66401,244.755,4882,0.873951972,0.797
2140.01,,2.470613714,13.64941165,1363.798777,181.2169,215.32,5854,1.016129971,1.057
2154.01,,3.8240806,15.5817,1456,234,296.46,6243,1.39,1.21
2159.01,,10.0509381,13.9389,1136,160,294.398,5844,1.41,1.05
2197.01,,4.954796819,12.54185991,1397.800057,128.21593,162.303,6562,1.46939,1.36
2200.01,,2.9360281,7.18912,1147,124,251.245,4983.6,0.83,0.85
2218.01,,0.3456911,10.1929,3243,156,330.15,6282,1.05,1.23
2222.01,,2.2456869,17.5083,1943,224,859.449,6381,1.5,1.41
2236.01,,3.5316,14.1927,1346,118,355.59,6209,1.62,1.19
2251.01,,11.5743401,17.2652,993,113,711.751,5776,1.46,1.04
2258.01,,9.6799809,14.6081,658,137,455.408,5980,1.11,1.1
2310.01,,2.9432073,13.6531,1186,116,,5266.7,1.18,
2346.01,,3.3311975,14.877,1715,135,437.484,6605,1.33,1.38
2351.01,,5.2524792,20.7884,944,121,457.57,5728,1.27,1.02
2380.01,,5.215356684,17.65597874,1671.200333,128.15335,275.587,6067.2,2.390140057,1.13
2403.01,,1.809881077,21.95555489,2159.434157,534.0521,194.459,6278.2,1.89120996,1.226
2423.01,,,14.2836,701,152,133.354,6057,1.1,1.13
2442.01,,17.1217196,10.2267,1053,294,262.475,5762,1,1.03
2461.01,,6.1802675,13.2741,1330,144,372.632,6513,1.74,1.338
2464.01,,3.7684981,12.5471,1061,105,288.326,5160,0.87,0.873
2547.01,,2.3114199,14.2928,1480,286,273.703,5785.79,1.07,1.038
2562.01,,4.0483694,13.7358,1257,134,587.158,6054,1.24,1.13
2570.01,,2.9887607,14.4391,1328,142,361.857,5639,1.12,1
